t,x
23.0800,-0.947935
23.1200,-0.996289
23.1600,-0.974857
23.2000,-0.934182
23.2400,-0.892294
23.2800,-0.950842
23.3200,-0.834435
23.3600,-0.868083
23.4000,-0.785996
23.4400,-0.786594
23.4800,-0.715803
23.5200,-0.722545
23.5600,-0.686120
23.6000,-0.593891
23.6400,-0.493843
23.6800,-0.508075
23.7200,-0.471287
23.7600,-0.347645
23.8000,-0.312953
23.8400,-0.223848
23.8800,-0.181907
23.9200,-0.090214
23.9600,-0.074059
24.0000,0.011437
24.0400,0.087142
24.0800,0.158368
24.1200,0.195889
24.1600,0.238884
24.2000,0.339499
24.2400,0.353056
24.2800,0.394291
24.3200,0.442604
24.3600,0.507323
24.4000,0.634978
24.4400,0.615371
24.4800,0.692064
24.5200,0.708036
24.5600,0.750124
24.6000,0.834629
24.6400,0.890193
24.6800,0.826975
24.7200,0.914895
24.7600,0.950575
24.8000,0.908313
24.8400,0.955463
24.8800,0.965090
24.9200,0.972702
24.9600,0.979734
25.0000,0.998857
25.0400,1.029088
25.0800,0.957234
25.1200,0.943833
25.1600,0.946135
25.2000,0.926496
25.2400,0.907186
25.2800,0.929147
25.3200,0.880783
25.3600,0.887452
25.4000,0.812657
25.4400,0.735092
25.4800,0.766011
25.5200,0.674265
25.5600,0.606798
25.6000,0.592483
25.6400,0.500554
25.6800,0.469828
25.7200,0.390926
25.7600,0.373649
25.8000,0.303939
25.8400,0.226217
25.8800,0.224190
25.9200,0.135853
25.9600,0.024027
26.0000,0.039895
26.0400,-0.084336
26.0800,-0.159459
26.1200,-0.192353
26.1600,-0.209971
26.2000,-0.278886
26.2400,-0.344934
26.2800,-0.382261
26.3200,-0.518029
26.3600,-0.491273
26.4000,-0.626699
26.4400,-0.594725
26.4800,-0.655068
26.5200,-0.748689
26.5600,-0.740232
26.6000,-0.781788
26.6400,-0.893904
26.6800,-0.878639
26.7200,-0.869806
26.7600,-0.938409
26.8000,-0.929382
26.8400,-0.927355
26.8800,-0.960683
26.9200,-1.012018
26.9600,-1.010385
27.0000,-0.968176
27.0400,-0.998660
27.0800,-1.012796
27.1200,-0.963560
27.1600,-1.001660
27.2000,-0.931379
27.2400,-0.942129
27.2800,-0.879068
27.3200,-0.897981
27.3600,-0.876514
27.4000,-0.824324
27.4400,-0.755602
27.4800,-0.682647
27.5200,-0.668377
27.5600,-0.670449
27.6000,-0.543772
27.6400,-0.526243
27.6800,-0.486629
27.7200,-0.404233
27.7600,-0.412930
27.8000,-0.294283
27.8400,-0.294650
27.8800,-0.205130
27.9200,-0.127845
27.9600,-0.067737
28.0000,-0.018160
28.0400,0.077891
28.0800,0.129213
28.1200,0.165739
28.1600,0.215978
28.2000,0.284835
28.2400,0.413639
28.2800,0.421132
28.3200,0.470804
28.3600,0.518312
28.4000,0.624515
28.4400,0.609504
28.4800,0.721304
28.5200,0.679526
28.5600,0.782053
28.6000,0.821434
28.6400,0.868738
28.6800,0.899294
28.7200,0.864309
28.7600,0.904563
28.8000,0.985018
28.8400,1.015130
28.8800,0.941046
28.9200,0.959857
28.9600,0.978628
29.0000,0.970527
29.0400,0.993992
29.0800,0.998569
29.1200,0.935769
29.1600,1.005645
29.2000,0.948356
29.2400,0.889954
29.2800,0.855016
29.3200,0.850782
29.3600,0.820754
29.4000,0.768477
29.4400,0.722609
29.4800,0.760080
29.5200,0.642679
29.5600,0.677856
29.6000,0.607577
29.6400,0.556541
29.6800,0.441566
29.7200,0.468746
29.7600,0.363746
29.8000,0.347522
29.8400,0.230102
29.8800,0.200530
29.9200,0.144047
29.9600,0.019500
30.0000,0.033884
30.0400,-0.058191
30.0800,-0.163121
30.1200,-0.219724
30.1600,-0.275999
30.2000,-0.314820
30.2400,-0.413425
30.2800,-0.447305
30.3200,-0.496396
30.3600,-0.508090
30.4000,-0.599868
30.4400,-0.623805
30.4800,-0.698121
30.5200,-0.682586
30.5600,-0.767793
30.6000,-0.856715
30.6400,-0.891200
30.6800,-0.865183
30.7200,-0.872635
30.7600,-0.929271
30.8000,-0.916781
30.8400,-0.980114
30.8800,-0.997246
30.9200,-0.943722
30.9600,-1.007440
31.0000,-1.041467
31.0400,-0.977999
31.0800,-1.025216
31.1200,-1.031493
31.1600,-0.920694
31.2000,-0.954576
31.2400,-0.960092
31.2800,-0.943022
31.3200,-0.835698
31.3600,-0.819471
31.4000,-0.821676
31.4400,-0.753538
31.4800,-0.713842
31.5200,-0.683594
31.5600,-0.670542
31.6000,-0.633637
31.6400,-0.497552
31.6800,-0.458120
31.7200,-0.379269
31.7600,-0.401083
31.8000,-0.297540
31.8400,-0.264240
31.8800,-0.229055
31.9200,-0.170097
31.9600,-0.089270
32.0000,0.044667
32.0400,0.051605
32.0800,0.113673
32.1200,0.172523
32.1600,0.203869
32.2000,0.262023
32.2400,0.357771
32.2800,0.445674
32.3200,0.529120
32.3600,0.503022
32.4000,0.626464
32.4400,0.669744
32.4800,0.642173
32.5200,0.715002
32.5600,0.742429
32.6000,0.788449
32.6400,0.845224
32.6800,0.880794
32.7200,0.866629
32.7600,0.894624
32.8000,0.985257
32.8400,1.017931
32.8800,0.990122
32.9200,1.031070
32.9600,0.971245
33.0000,1.023002
33.0400,1.039908
33.0800,0.975450
33.1200,0.968141
33.1600,0.924275
33.2000,0.912773
33.2400,0.894544
33.2800,0.914531
33.3200,0.885467
33.3600,0.810085
33.4000,0.830058
33.4400,0.770592
33.4800,0.746733
33.5200,0.635890
33.5600,0.597980
33.6000,0.559240
33.6400,0.512479
33.6800,0.530135
33.7200,0.450280
33.7600,0.340333
33.8000,0.335212
33.8400,0.295290
33.8800,0.218862
33.9200,0.171990
33.9600,0.074132
34.0000,0.005691
34.0400,-0.022772
34.0800,-0.133372
34.1200,-0.177259
34.1600,-0.284855
34.2000,-0.298669
34.2400,-0.388384
34.2800,-0.453480
34.3200,-0.440381
34.3600,-0.551187
34.4000,-0.568791
34.4400,-0.669735
34.4800,-0.721419
34.5200,-0.718117
34.5600,-0.743108
34.6000,-0.805176
34.6400,-0.886089
34.6800,-0.913568
34.7200,-0.875312
34.7600,-0.967403
34.8000,-0.989867
34.8400,-0.991950
34.8800,-1.005334
34.9200,-1.009601
34.9600,-0.992138
35.0000,-0.984305
35.0400,-0.957324
35.0800,-1.019893
35.1200,-0.942032
35.1600,-0.919238
35.2000,-0.956612
35.2400,-0.953713
35.2800,-0.952267
35.3200,-0.884066
35.3600,-0.839030
35.4000,-0.817996
35.4400,-0.792792
35.4800,-0.706667
35.5200,-0.696793
35.5600,-0.603929
35.6000,-0.627249
35.6400,-0.506299
35.6800,-0.512695
35.7200,-0.450133
35.7600,-0.404884
35.8000,-0.347481
35.8400,-0.238970
35.8800,-0.234856
35.9200,-0.083412
35.9600,-0.039729
36.0000,0.030145
36.0400,0.049167
36.0800,0.108351
36.1200,0.146450
36.1600,0.248285
36.2000,0.294833
36.2400,0.340211
36.2800,0.448459
36.3200,0.445031
36.3600,0.512874
36.4000,0.551231
36.4400,0.620753
36.4800,0.639297
36.5200,0.746506
36.5600,0.802051
36.6000,0.781689
36.6400,0.864854
36.6800,0.873160
36.7200,0.882088
36.7600,0.965007
36.8000,0.957637
36.8400,0.946374
36.8800,0.976522
36.9200,1.040832
36.9600,0.959280
37.0000,0.954502
37.0400,0.967308
37.0800,0.962264
37.1200,0.940358
37.1600,0.939997
37.2000,0.991280
37.2400,0.918353
37.2800,0.881924
37.3200,0.831286
37.3600,0.874622
37.4000,0.769382
37.4400,0.765199
37.4800,0.771019
37.5200,0.720719
37.5600,0.614258
37.6000,0.558876
37.6400,0.513558
37.6800,0.529594
37.7200,0.384018
37.7600,0.386472
37.8000,0.271468
37.8400,0.272845
37.8800,0.149529
37.9200,0.138363
37.9600,0.031719
38.0000,-0.028364
38.0400,-0.022666
38.0800,-0.154359
38.1200,-0.171643
38.1600,-0.226555
38.2000,-0.291022
38.2400,-0.351569
38.2800,-0.385124
38.3200,-0.513704
38.3600,-0.569918
38.4000,-0.564628
38.4400,-0.603796
38.4800,-0.689251
38.5200,-0.727463
38.5600,-0.736650
38.6000,-0.772468
38.6400,-0.838290
38.6800,-0.907111
38.7200,-0.928219
38.7600,-0.966385
38.8000,-0.977987
38.8400,-0.973798
38.8800,-0.991366
38.9200,-0.959472
38.9600,-0.978589
39.0000,-0.987692
39.0400,-0.990907
39.0800,-1.023662
39.1200,-1.011755
39.1600,-0.930923
39.2000,-0.919042
39.2400,-0.917699
39.2800,-0.878602
39.3200,-0.829798
39.3600,-0.835838
39.4000,-0.845338
39.4400,-0.804735
39.4800,-0.685908
39.5200,-0.690720
39.5600,-0.618354
39.6000,-0.581369
39.6400,-0.507336
39.6800,-0.476058
39.7200,-0.438947
39.7600,-0.356808
39.8000,-0.301093
39.8400,-0.260944
39.8800,-0.163987
39.9200,-0.174330
39.9600,-0.111231
